"Pickup Date","Return Date","Country","Location","Title","Sit","Limit","Price per day","Total Price","Toll pass"
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Standard (Chevrolet Blazer)","5","Incl. 26,071 miles","$ 70.06","$ 25,570.97",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Premium (BMW X1)","5","Incl. 26,071 miles","$ 71.17","$ 25,976.28",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Standard Elite (GMC Acadia)","7","Incl. 26,071 miles","$ 73.42","$ 26,799.18",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Luxury (BMW X3)","5","Incl. 26,071 miles","$ 74.47","$ 27,180.31",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Extraordinary (BMW 5 Series)","5","Incl. 26,071 miles","$ 75.07","$ 27,400.32",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Standard (Ford Mustang Convertible)","4","Incl. 26,071 miles","$ 75.32","$ 27,491.54",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Extraordinary (BMW X5)","5","Incl. 26,071 miles","$ 81.15","$ 29,621.01",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Minivan (Chrysler Pacifica)","7","Incl. 26,071 miles","$ 87.14","$ 31,805.28",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Full-size (Chevrolet Tahoe)","7","Incl. 26,071 miles","$ 91.33","$ 33,334.58",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Full-size Elite (Chevrolet Suburban)","7","Incl. 26,071 miles","$ 94.26","$ 34,405.90",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Extraordinary (BMW X7)","7","Incl. 26,071 miles","$ 96.42","$ 35,194.07",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Luxury (BMW 4 Series Convertible)","4","Incl. 26,071 miles","$ 110.92","$ 40,486.87",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Extraordinary (Range Rover Sport)","5","Incl. 22,995 miles","$ 121.04","$ 44,180.49",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Extraordinary (BMW 7 Series)","5","Incl. 22,995 miles","$ 122.42","$ 44,682.82",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Extraordinary (Cadillac Escalade)","7","Incl. 22,995 miles","$ 148.15","$ 54,075.25",""
"2024-04-01","2025-04-01","US","Aspen Airport","Full-size (Toyota Camry)","5","Incl. 26,071 miles","$ 37.99","$ 13,864.85",""
"2024-04-01","2025-04-01","US","Aspen Airport","Compact (Chevrolet Trailblazer)","5","Incl. 26,071 miles","$ 39.12","$ 14,280.47",""
"2024-04-01","2025-04-01","US","Aspen Airport","Midsize (Toyota RAV4)","5","Incl. 26,071 miles","$ 40.56","$ 14,803.18",""
"2024-04-01","2025-04-01","US","Aspen Airport","Standard (Chevrolet Blazer)","5","Incl. 26,071 miles","$ 46.49","$ 16,969.46",""
"2024-04-01","2025-04-01","US","Aspen Airport","Premium (BMW X1)","5","Incl. 26,071 miles","$ 47.16","$ 17,212.99",""
"2024-04-01","2025-04-01","US","Aspen Airport","Standard Elite (GMC Acadia)","7","Incl. 26,071 miles","$ 48.51","$ 17,707.33",""
"2024-04-01","2025-04-01","US","Aspen Airport","Luxury (BMW X3)","5","Incl. 26,071 miles","$ 49.14","$ 17,936.35",""
"2024-04-01","2025-04-01","US","Aspen Airport","Extraordinary (BMW X5)","5","Incl. 26,071 miles","$ 53.16","$ 19,402.61",""
"2024-04-01","2025-04-01","US","Aspen Airport","Full-size (Chevrolet Tahoe)","7","Incl. 26,071 miles","$ 59.27","$ 21,633.72",""
"2024-04-01","2025-04-01","US","Aspen Airport","Full-size Elite (Chevrolet Suburban)","7","Incl. 26,071 miles","$ 61.03","$ 22,277.25",""
"2024-04-01","2025-04-01","US","Aspen Airport","Extraordinary (BMW X7)","7","Incl. 26,071 miles","$ 62.33","$ 22,750.75",""
"2024-04-01","2025-04-01","US","Aspen Airport","Extraordinary (Bentley Bentayga)","5","Incl. 13,140 miles","$ 142.21","$ 51,906.77",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Compact (Nissan Versa)","5","Incl. 26,071 miles","$ 45.81","$ 16,721.31",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Midsize (Nissan Sentra)","5","Incl. 26,071 miles","$ 46.08","$ 16,818.85",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Standard (Toyota Corolla)","5","Incl. 26,071 miles","$ 46.34","$ 16,913",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Full-size (Toyota Camry)","5","Incl. 26,071 miles","$ 46.58","$ 17,001.66",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Compact (Chevrolet Trailblazer)","5","Incl. 26,071 miles","$ 48","$ 17,518.94",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Midsize (Toyota RAV4)","5","Incl. 26,071 miles","$ 49.78","$ 18,169.27",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Premium (BMW 2 Series)","5","Incl. 26,071 miles","$ 51.56","$ 18,818.01",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Luxury (BMW 3 Series)","5","Incl. 26,071 miles","$ 53.53","$ 19,536.98",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Standard (Chevrolet Blazer)","5","Incl. 26,071 miles","$ 57.17","$ 20,865.30",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Premium (BMW X1)","5","Incl. 26,071 miles","$ 58","$ 21,168.27",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Standard Elite (GMC Acadia)","7","Incl. 26,071 miles","$ 59.68","$ 21,783.41",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Luxury (BMW X3)","5","Incl. 26,071 miles","$ 60.46","$ 22,068.45",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Extraordinary (BMW X5)","5","Incl. 26,071 miles","$ 65.46","$ 23,893.19",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Minivan (Chrysler Pacifica)","7","Incl. 26,071 miles","$ 69.93","$ 25,526.09",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Full-size (Chevrolet Tahoe)","7","Incl. 26,071 miles","$ 73.07","$ 26,669.49",""
"2024-04-01","2025-04-01","US","Baltimore Int Airport","Full-size Elite (Chevrolet Suburban)","7","Incl. 26,071 miles","$ 75.26","$ 27,470.51",""
